Username,Handle,Timestamp,Comments,Responding,Text,Reply,Retweet,Likes
Lisa Lavender,@Lavender_Wild,2021-12-30T02:22:19.000Z,Check out ZORAN_NFT's video! #SaveTheRhino #TikTok https://vm.tiktok.com/ZM8KdPeoH/,,Check out ZORAN_NFT's video! #SaveTheRhino #TikTok https://vm.tiktok.com/ZM8KdPeoH/,,,
Rossie,@aut2breal,2021-12-29T19:21:23.000Z,Magnificent to say the least!  #rhino #savetherhino #conservation #NaturalBeauty #rhinos,,Magnificent to say the least!  #rhino #savetherhino #conservation #NaturalBeauty #rhinos,,,1
Cruga Biltong,@cruga_biltong,2021-12-29T16:50:28.000Z,"The perfect snack to share with friends over the New Year?...

Wishing all those a Happy New Year from Cruga Biltong.
_
#cruga #biltong #newyear #savetherhino",,"The perfect snack to share with friends over the New Year?...

Wishing all those a Happy New Year from Cruga Biltong.
_
#cruga #biltong #newyear #savetherhino",,,
Save the Rhino International,@savetherhino,2021-12-29T16:30:47.000Z,"We couldn't save rhinos without people like you. Earlier this year we were thrilled earlier this year when 
@MBandF
 got in touch to collaborate on their unique 'Longhorn timepiece! Find out more about our partnership: https://lght.ly/52ole0g
#SaveTheRhino #TickTockDay","4
8","We couldn't save rhinos without people like you. Earlier this year we were thrilled earlier this year when 
@MBandF
 got in touch to collaborate on their unique 'Longhorn timepiece! Find out more about our partnership: https://lght.ly/52ole0g
#SaveTheRhino #TickTockDay4
8",,4.0,8
Claire Crawford,@ClaireCrawfArt,2021-12-29T09:05:30.000Z,"A massive thank you to everyone who purchased a Christmas Rhino card during 2021. I have managed to donate £12 to Save the Rhino based on your sales.

https://ebay.co.uk/itm/294670294049…

https://ebay.co.uk/itm/294670333560…

#savetherhino #savetherhinointernational #rhinos #rhinolovers #rhinos",1,"A massive thank you to everyone who purchased a Christmas Rhino card during 2021. I have managed to donate £12 to Save the Rhino based on your sales.

https://ebay.co.uk/itm/294670294049…

https://ebay.co.uk/itm/294670333560…

#savetherhino #savetherhinointernational #rhinos #rhinolovers #rhinos1",,,1
Ol Pejeta Escapes,@OlPejetaEscapes,2021-12-29T07:44:51.000Z,"On the flip side, it’s a wake-up call that we have to do better as members of the human species to save this umbrella species.

Have you been to Ol Pejeta’s Rhino Memorial? What were your thoughts?

 
@RioWildPhotos
 

#antipoaching #conservation #savetherhino⁠  #olpejeta #kenya","1
3","On the flip side, it’s a wake-up call that we have to do better as members of the human species to save this umbrella species.

Have you been to Ol Pejeta’s Rhino Memorial? What were your thoughts?

 
@RioWildPhotos
 

#antipoaching #conservation #savetherhino⁠  #olpejeta #kenya1
3",,1.0,3
Skull Print Award Winning Custom Clothing,@SkullPrint3,2021-12-26T14:00:05.000Z,"15% off using code xmassub until 31/12/21

BIG PRINT Rhino © T-shirt

https://skullprint.co.uk/shop/ols/products/big-print-rhino-t-shirt-various-colours…

#tshirt #tshirts #clothing #fashion #rhino #rhinoceros #rhinotshirt #whiterhino #blackrhino #indianrhino #javanrhino #dinosaurs #protecttherhino #savetherhino #bigprint #bigprinttshirt",,"15% off using code xmassub until 31/12/21

BIG PRINT Rhino © T-shirt

https://skullprint.co.uk/shop/ols/products/big-print-rhino-t-shirt-various-colours…

#tshirt #tshirts #clothing #fashion #rhino #rhinoceros #rhinotshirt #whiterhino #blackrhino #indianrhino #javanrhino #dinosaurs #protecttherhino #savetherhino #bigprint #bigprinttshirt",,,
Lisa Lavender,@Lavender_Wild,2021-10-22T14:01:05.000Z,"Happy #RhinoFriday $DESO BitClout Community,
Big things have small beginnings!
*
Let’s bound together & support frontline wildlife charity $SavingTheSurvivors & collectively fight the war against poaching.
*
#SaveTheRhino #WorthMoreAlive #SavingTheSurvivors #CreatingHopeFromHurt",,"Happy #RhinoFriday $DESO BitClout Community,
Big things have small beginnings!
*
Let’s bound together & support frontline wildlife charity $SavingTheSurvivors & collectively fight the war against poaching.
*
#SaveTheRhino #WorthMoreAlive #SavingTheSurvivors #CreatingHopeFromHurt",2.0,,
Barsawad,@Barsawad,2021-10-21T19:14:46.000Z,"White Rhinoes: Najin, 32, is being dropped from the programme which aims to implant artificially developed embryos into another species of rhino. Fatu, her daughter, is now the only donor left #SaveTheRhino
#SayNoToPoaching #EndWildlifeCrime","reuters.com
One of world's last two northern white rhinos dropped from race to save the species
One of the world's last two northern white rhinos, a mother and her daughter, is being retired from a breeding programme aimed at saving the species from extinction, scientists said on Thursday.","White Rhinoes: Najin, 32, is being dropped from the programme which aims to implant artificially developed embryos into another species of rhino. Fatu, her daughter, is now the only donor left #SaveTheRhino
#SayNoToPoaching #EndWildlifeCrimereuters.com
One of world's last two northern white rhinos dropped from race to save the species
One of the world's last two northern white rhinos, a mother and her daughter, is being retired from a breeding programme aimed at saving the species from extinction, scientists said on Thursday.",,,
Seb (travelcomments),@travelcomments,2021-10-20T09:55:22.000Z,Namibia: New rhino and elephant poaching figures! https://bit.ly/3BGokha #SaveTheElephants #SaveTheRhino #Namibia,,Namibia: New rhino and elephant poaching figures! https://bit.ly/3BGokha #SaveTheElephants #SaveTheRhino #Namibia,,,
